Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,21.15,-3.071645372,-2.818542198,-2.559084642,0.256280365
,,,,,,21.16,-3.071249763,-2.81906793,-2.558766863,0.25624145
,,,,,,21.17,-3.07196387,-2.819598849,-2.558737929,0.256612971
,,,,,,21.18,-3.076545089,-2.8201355,-2.558057605,0.259243742
,,,,,,21.19,-3.07598669,-2.820678425,-2.559123411,0.258431639
,,,,,,21.2,-3.078934547,-2.821228169,-2.559876643,0.259528952
,,,,,,21.21,-3.082002856,-2.821785275,-2.557106985,0.262447935
,,,,,,21.22,-3.084223559,-2.822350285,-2.556425288,0.263899135
,,,,,,21.23,-3.087741398,-2.822923744,-2.556480919,0.265630239
,,,,,,21.24,-3.088204404,-2.823506195,-2.557159319,0.265522543
,,,,,,21.25,-3.089599913,-2.824098182,-2.554695982,0.267451965
,,,,,,21.26,-3.089633284,-2.824700248,-2.554406547,0.267613368
,,,,,,21.27,-3.08917483,-2.825312936,-2.554074698,0.267550066
,,,,,,21.28,-3.090742848,-2.82593679,-2.553671684,0.268535582
,,,,,,21.29,-3.092847371,-2.826572353,-2.552387133,0.270230119
,,,,,,21.3,-3.096983102,-2.82722017,-2.55000445,0.273489326
,,,,,,21.31,-3.097284248,-2.827880782,-2.551178821,0.273052713
,,,,,,21.32,-3.098997112,-2.828554734,-2.551795677,0.273600718
,,,,,,21.33,-3.101838644,-2.82924257,-2.551028472,0.275405086
,,,,,,21.34,-3.102400469,-2.829944832,-2.552380659,0.275009905
,,,,,,21.35,-3.105115539,-2.830662064,-2.553376604,0.275869467
,,,,,,21.36,-3.108396256,-2.83139481,-2.554138863,0.277128697
,,,,,,21.37,-3.10910187,-2.832143613,-2.555006905,0.277047483
,,,,,,21.38,-3.112752012,-2.832909016,-2.553566323,0.279592844
,,,,,,21.39,-3.115251497,-2.833691564,-2.554346137,0.28045268
,,,,,,21.4,-3.112999932,-2.834491799,-2.55341629,0.279791821
,,,,,,21.41,-3.112772845,-2.835310264,-2.553918662,0.279427092
,,,,,,21.42,-3.112338413,-2.836147504,-2.552096248,0.280121082
,,,,,,21.43,-3.117864813,-2.837004062,-2.552658988,0.282602913
,,,,,,21.44,-3.122296892,-2.837880481,-2.554203438,0.284046727
,,,,,,21.45,-3.12547511,-2.838777305,-2.552236283,0.286619414
,,,,,,21.46,-3.126087228,-2.839695077,-2.549855399,0.288115914
,,,,,,21.47,-3.130190098,-2.840634341,-2.548374616,0.290907741
,,,,,,21.48,-3.131177487,-2.84159564,-2.549128251,0.291024618
,,,,,,21.49,-3.131890233,-2.842579518,-2.550208832,0.290840701
,,,,,,21.5,-3.132344844,-2.843586517,-2.547234494,0.292555175
,,,,,,21.51,-3.131924135,-2.844617182,-2.546948902,0.292487616
,,,,,,21.52,-3.133547351,-2.845672056,-2.546992448,0.293277452
,,,,,,21.53,-3.135201524,-2.846751683,-2.544874859,0.295163333
,,,,,,21.54,-3.136485572,-2.847856605,-2.546832338,0.294826617
,,,,,,21.55,-3.137740657,-2.848987367,-2.549485754,0.294127451
,,,,,,21.56,-3.137384572,-2.850144511,-2.551046316,0.293169128
,,,,,,21.57,-3.138683517,-2.851328582,-2.552690565,0.292996476
,,,,,,21.58,-3.139221285,-2.852540123,-2.555936428,0.291642428
,,,,,,21.59,-3.139077759,-2.853779677,-2.558988468,0.290044645
,,,,,,21.6,-3.141502468,-2.855047787,-2.559219268,0.2911416
,,,,,,21.61,-3.142063542,-2.856344998,-2.558372794,0.291845374
,,,,,,21.62,-3.14389293,-2.857671852,-2.560740444,0.291576243
,,,,,,21.63,-3.146154757,-2.859028893,-2.562870668,0.291642045
,,,,,,21.64,-3.146783589,-2.860416665,-2.565872695,0.290455447
,,,,,,21.65,-3.14799598,-2.86183571,-2.564576619,0.29170968
,,,,,,21.66,-3.151554279,-2.86328657,-2.56632843,0.292612925
,,,,,,21.67,-3.15587945,-2.864768995,-2.566288514,0.294795468
,,,,,,21.68,-3.160795659,-2.866280981,-2.565129164,0.297833248
,,,,,,21.69,-3.164063416,-2.867820287,-2.568047383,0.298008016
,,,,,,21.7,-3.168535309,-2.869384668,-2.567271406,0.300631952
,,,,,,21.71,-3.16972424,-2.870971883,-2.564851934,0.302436153
,,,,,,21.72,-3.175466818,-2.872579689,-2.565517362,0.304974728
,,,,,,21.73,-3.177047211,-2.874205844,-2.566808675,0.305119268
,,,,,,21.74,-3.180255268,-2.875848105,-2.566967256,0.306644006
,,,,,,21.75,-3.185712658,-2.87750423,-2.567690828,0.309010915
,,,,,,21.76,-3.19047982,-2.879171976,-2.56671746,0.31188118
,,,,,,21.77,-3.187588771,-2.880849101,-2.565912855,0.310837958
,,,,,,21.78,-3.192310798,-2.882533362,-2.568764589,0.311773105
,,,,,,21.79,-3.196048561,-2.884222516,-2.568593364,0.313727599
,,,,,,21.8,-3.203254014,-2.885914322,-2.568103669,0.317575173
,,,,,,21.81,-3.208600206,-2.887606536,-2.569324723,0.319637742
,,,,,,21.82,-3.212853879,-2.889296916,-2.569888567,0.321482656
,,,,,,21.83,-3.217497009,-2.890983221,-2.568107231,0.324694889
,,,,,,21.84,-3.220594289,-2.892663206,-2.57203104,0.324281625
,,,,,,21.85,-3.222212972,-2.89433463,-2.574325611,0.323943681
,,,,,,21.86,-3.227941274,-2.89599525,-2.574773604,0.326583835
,,,,,,21.87,-3.231708332,-2.897642823,-2.57430951,0.328699411
,,,,,,21.88,-3.238497495,-2.899275108,-2.578084041,0.330206727
,,,,,,21.89,-3.24135744,-2.900889861,-2.578588439,0.331384501
,,,,,,21.9,-3.244342704,-2.902484841,-2.57985631,0.332243197
,,,,,,21.91,-3.248812305,-2.904057804,-2.581602098,0.333605104
,,,,,,21.92,-3.250715315,-2.905606508,-2.582660051,0.334027632
,,,,,,21.93,-3.255223791,-2.907128711,-2.584071492,0.335576149
,,,,,,21.94,-3.258415223,-2.908622425,-2.58705352,0.335680851
,,,,,,21.95,-3.261193146,-2.910087041,-2.588212726,0.33649021
,,,,,,21.96,-3.263719054,-2.911522414,-2.587672643,0.338023205
,,,,,,21.97,-3.266153856,-2.912928401,-2.589104521,0.338524668
,,,,,,21.98,-3.268716483,-2.914304855,-2.5895195,0.339598491
,,,,,,21.99,-3.272312118,-2.915651634,-2.590293353,0.341009383
,,,,,,22,-3.274465814,-2.916968593,-2.590396694,0.34203456
,,,,,,22.01,-3.276977805,-2.918255586,-2.590544983,0.343216411
,,,,,,22.02,-3.278765383,-2.919512471,-2.5907377,0.344013842
,,,,,,22.03,-3.280120405,-2.920739101,-2.59102703,0.344546687
,,,,,,22.04,-3.281153047,-2.921935333,-2.59187705,0.344637998
,,,,,,22.05,-3.283364883,-2.923101023,-2.592997594,0.345183645
,,,,,,22.06,-3.286559472,-2.924236025,-2.595161995,0.345698739
,,,,,,22.07,-3.28860926,-2.925340196,-2.595039543,0.346784859
,,,,,,22.08,-3.290539617,-2.926413391,-2.595331582,0.347604018
,,,,,,22.09,-3.292490248,-2.927455465,-2.59570385,0.348393199
,,,,,,22.1,-3.29176237,-2.928466274,-2.596966427,0.347397971
,,,,,,22.11,-3.290967359,-2.929445674,-2.59768586,0.34664075
,,,,,,22.12,-3.291485965,-2.93039352,-2.599386702,0.346049631
,,,,,,22.13,-3.291017365,-2.931309667,-2.600438727,0.345289319
,,,,,,22.14,-3.290052679,-2.932193972,-2.600886096,0.344583291
,,,,,,22.15,-3.291874283,-2.93304629,-2.601527217,0.345173533
,,,,,,22.16,-3.296835661,-2.933866476,-2.601366495,0.347734583
,,,,,,22.17,-3.298486715,-2.934654385,-2.601787431,0.348349642
,,,,,,22.18,-3.300873418,-2.935409874,-2.6040009,0.348436259
,,,,,,22.19,-3.302482366,-2.936132798,-2.601837165,0.3503226
,,,,,,22.2,-3.302624396,-2.936823013,-2.602632792,0.349995802
,,,,,,22.21,-3.304806087,-2.937480373,-2.602891458,0.350957315
,,,,,,22.22,-3.307439313,-2.938104735,-2.601933963,0.352752675
,,,,,,22.23,-3.308390776,-2.938695955,-2.602534805,0.352927985
,,,,,,22.24,-3.308562972,-2.939253887,-2.602643928,0.352959522
,,,,,,22.25,-3.308420911,-2.939778387,-2.60176964,0.353325635
,,,,,,22.26,-3.307368019,-2.94026931,-2.602635357,0.352366331
,,,,,,22.27,-3.306849536,-2.940726514,-2.603547794,0.351650871
,,,,,,22.28,-3.308152934,-2.941149852,-2.603296343,0.352428295
,,,,,,22.29,-3.308343503,-2.94153918,-2.601199203,0.35357215
,,,,,,22.3,-3.306850893,-2.941894354,-2.600913319,0.352968787
,,,,,,22.31,-3.307191341,-2.94221523,-2.599881425,0.353654958
,,,,,,22.32,-3.306848477,-2.942501663,-2.599263481,0.353792498
,,,,,,22.33,-3.308177279,-2.942753508,-2.598822995,0.354677142
,,,,,,22.34,-3.311715393,-2.942970622,-2.598167539,0.356773927
,,,,,,22.35,-3.313887218,-2.943152859,-2.597224034,0.358331592
,,,,,,22.36,-3.313827971,-2.943300075,-2.597352932,0.35823752
,,,,,,22.37,-3.313767624,-2.943412126,-2.597586554,0.358090535
,,,,,,22.38,-3.309333704,-2.943488868,-2.597034439,0.356149632
,,,,,,22.39,-3.306311725,-2.943530155,-2.594658818,0.355826454
,,,,,,22.4,-3.304709424,-2.943535844,-2.594506085,0.355101669
,,,,,,22.41,-3.306296898,-2.943505789,-2.59197258,0.357162159
,,,,,,22.42,-3.304006517,-2.943439848,-2.587498021,0.358254248
,,,,,,22.43,-3.305816043,-2.943337874,-2.584568947,0.360623548
,,,,,,22.44,-3.305371166,-2.943199723,-2.579692506,0.36283933
,,,,,,22.45,-3.305133364,-2.943025252,-2.577488012,0.363822676
,,,,,,22.46,-3.305980699,-2.942814316,-2.575186455,0.365397122
,,,,,,22.47,-3.305606533,-2.942566769,-2.572887351,0.366359591
,,,,,,22.48,-3.305649382,-2.942282469,-2.57223489,0.366707246
,,,,,,22.49,-3.307786157,-2.941961269,-2.572980449,0.367402854
,,,,,,22.5,-3.310341424,-2.941603027,-2.57211367,0.369113877
,,,,,,22.51,-3.314504011,-2.941207597,-2.571831635,0.371336188
,,,,,,22.52,-3.317295161,-2.940774835,-2.57150851,0.372893325
,,,,,,22.53,-3.318308553,-2.940304596,-2.569227586,0.374540484
,,,,,,22.54,-3.31810264,-2.939796736,-2.569308435,0.374397103
,,,,,,22.55,-3.318453903,-2.939251111,-2.568417837,0.375018033
,,,,,,22.56,-3.321052202,-2.938667577,-2.569718937,0.375666632
,,,,,,22.57,-3.322389387,-2.938045987,-2.569530502,0.376429443
,,,,,,22.58,-3.321345519,-2.937386199,-2.570233924,0.375555798
,,,,,,22.59,-3.322030632,-2.936688068,-2.570909823,0.375560404
,,,,,,22.6,-3.322497349,-2.935951449,-2.572162767,0.375167291
,,,,,,22.61,-3.32085339,-2.935176198,-2.572059483,0.374396953
,,,,,,22.62,-3.325359655,-2.93436217,-2.571307403,0.377026126
,,,,,,22.63,-3.327912684,-2.933509221,-2.571736448,0.378088118
,,,,,,22.64,-3.328163365,-2.932617207,-2.569717771,0.379222797
,,,,,,22.65,-3.327910492,-2.931685982,-2.567319525,0.380295483
,,,,,,22.66,-3.329170599,-2.930715404,-2.56647857,0.381346015
,,,,,,22.67,-3.326136688,-2.929705326,-2.563960781,0.381087954
,,,,,,22.68,-3.322957161,-2.928655605,-2.562532432,0.380212364
,,,,,,22.69,-3.321100806,-2.927566096,-2.56226354,0.379418633
,,,,,,22.7,-3.319242516,-2.926436655,-2.560522209,0.379360153
,,,,,,22.71,-3.320587441,-2.925267137,-2.558261686,0.381162877
,,,,,,22.72,-3.320657922,-2.924057398,-2.559311584,0.380673169
,,,,,,22.73,-3.320055961,-2.922807294,-2.560160368,0.379947797
,,,,,,22.74,-3.320830588,-2.921516679,-2.558108009,0.381361289
,,,,,,22.75,-3.319157215,-2.92018541,-2.553707981,0.382724617
,,,,,,22.76,-3.317873618,-2.918813342,-2.552392555,0.382740532
,,,,,,22.77,-3.315388997,-2.91740033,-2.553209969,0.381089514
,,,,,,22.78,-3.315156413,-2.915946231,-2.551991922,0.381582245
,,,,,,22.79,-3.314613903,-2.914450899,-2.549324397,0.382644753
,,,,,,22.8,-3.311499152,-2.912914191,-2.5465833,0.382457926
,,,,,,22.81,-3.308199467,-2.911335961,-2.546986741,0.380606363
,,,,,,22.82,-3.305490472,-2.909716065,-2.542293474,0.381598499
,,,,,,22.83,-3.30640908,-2.90805436,-2.536115131,0.385146975
,,,,,,22.84,-3.306661935,-2.906350699,-2.535546895,0.38555752
,,,,,,22.85,-3.307555424,-2.90460494,-2.534015747,0.386769838
,,,,,,22.86,-3.308240097,-2.902816937,-2.535723856,0.38625812
,,,,,,22.87,-3.304546387,-2.900986546,-2.534678179,0.384934104
,,,,,,22.88,-3.30267552,-2.899113623,-2.534657895,0.384008812
,,,,,,22.89,-3.30187886,-2.897198023,-2.532979284,0.384449788
,,,,,,22.9,-3.2979744,-2.895239601,-2.532735253,0.382619574
,,,,,,22.91,-3.296969734,-2.893238214,-2.527850185,0.384559774
,,,,,,22.92,-3.295596878,-2.891193716,-2.525648236,0.384974321
,,,,,,22.93,-3.291020451,-2.889105964,-2.525078953,0.382970749
,,,,,,22.94,-3.289618707,-2.886974813,-2.52316224,0.383228233
,,,,,,22.95,-3.285374764,-2.884800118,-2.520334029,0.382520368
,,,,,,22.96,-3.283533383,-2.882581734,-2.519135242,0.38219907
,,,,,,22.97,-3.280431915,-2.880319519,-2.514933248,0.382749333
,,,,,,22.98,-3.278208521,-2.878013326,-2.51106288,0.383572821
,,,,,,22.99,-3.275053326,-2.875663012,-2.507220748,0.383916289
,,,,,,23,-3.272622472,-2.873268432,-2.502848414,0.384887029
,,,,,,23.01,-3.272861197,-2.87082955,-2.4969837,0.387938749
,,,,,,23.02,-3.265799817,-2.868347443,-2.492701286,0.386549265
,,,,,,23.03,-3.263205784,-2.865823846,-2.484913133,0.389146326
,,,,,,23.04,-3.263414654,-2.863260504,-2.480438996,0.391487829
,,,,,,23.05,-3.259697765,-2.860659159,-2.477871628,0.390913069
,,,,,,23.06,-3.257559155,-2.858021555,-2.475351989,0.391103583
,,,,,,23.07,-3.254010389,-2.855349437,-2.473015838,0.390497275
,,,,,,23.08,-3.252362664,-2.852644547,-2.471450173,0.390456245
,,,,,,23.09,-3.250609662,-2.849908629,-2.467381179,0.391614241
,,,,,,23.1,-3.248286706,-2.847143426,-2.466222425,0.391032141
,,,,,,23.11,-3.246703387,-2.844350683,-2.46107044,0.392816474
,,,,,,23.12,-3.243183188,-2.841532143,-2.461101903,0.391040643
,,,,,,23.13,-3.241580981,-2.83868955,-2.458304465,0.391638258
,,,,,,23.14,-3.243229055,-2.835824647,-2.456575246,0.393326904
,,,,,,23.15,-3.242923616,-2.832939177,-2.454126573,0.394398521
,,,,,,23.16,-3.236467795,-2.830034885,-2.454572256,0.39094777
,,,,,,23.17,-3.234603752,-2.827113514,-2.452190493,0.39120663
,,,,,,23.18,-3.229299366,-2.824176808,-2.447287637,0.391005864
,,,,,,23.19,-3.229266952,-2.82122651,-2.445520442,0.391873255
,,,,,,23.2,-3.222123613,-2.818264364,-2.444052518,0.389035548
,,,,,,23.21,-3.21511203,-2.815292113,-2.441432421,0.386839804
,,,,,,23.22,-3.209999575,-2.812311501,-2.437169996,0.386414789
,,,,,,23.23,-3.202490016,-2.809324272,-2.435596175,0.38344692
,,,,,,23.24,-3.199794927,-2.806332169,-2.434843313,0.382475807
,,,,,,23.25,-3.194829501,-2.803336936,-2.431779209,0.381525146
,,,,,,23.26,-3.195330876,-2.800340317,-2.427528559,0.383901158
,,,,,,23.27,-3.194527492,-2.797344054,-2.423299405,0.385614044
,,,,,,23.28,-3.191529543,-2.794349893,-2.417536625,0.386996459
,,,,,,23.29,-3.190960362,-2.791359576,-2.413878538,0.388540912
,,,,,,23.3,-3.189206528,-2.788374846,-2.408459219,0.390373655
,,,,,,23.31,-3.188649446,-2.785397449,-2.404843322,0.391903062
,,,,,,23.32,-3.184379298,-2.782429126,-2.40010647,0.392136414
,,,,,,23.33,-3.178599782,-2.779471622,-2.39905955,0.389770116
,,,,,,23.34,-3.17573029,-2.776526681,-2.392398838,0.391665726
,,,,,,23.35,-3.170468369,-2.773596046,-2.383937008,0.39326568
,,,,,,23.36,-3.170665733,-2.77068146,-2.380530964,0.395067384
,,,,,,23.37,-3.16966707,-2.767784667,-2.377445691,0.396110689
,,,,,,23.38,-3.167571665,-2.764907412,-2.375949507,0.395811079
,,,,,,23.39,-3.165524024,-2.762051436,-2.37288476,0.396319632
,,,,,,23.4,-3.159915275,-2.759218485,-2.368779241,0.395568017
,,,,,,23.41,-3.158538464,-2.756410302,-2.365333706,0.396602379
,,,,,,23.42,-3.163461331,-2.75362863,-2.360611816,0.401424758
,,,,,,23.43,-3.168343269,-2.750875212,-2.358072598,0.405135336
,,,,,,23.44,-3.165613872,-2.748151793,-2.3544578,0.405578036
,,,,,,23.45,-3.159814443,-2.745460117,-2.352796573,0.403508935
,,,,,,23.46,-3.15399677,-2.742801926,-2.348809385,0.402593693
,,,,,,23.47,-3.151346163,-2.740178964,-2.344859882,0.403243141
,,,,,,23.48,-3.147556851,-2.737592975,-2.34471363,0.40142161
,,,,,,23.49,-3.145875293,-2.735045703,-2.340371944,0.402751675
,,,,,,23.5,-3.145372794,-2.732538891,-2.335614695,0.404879049
,,,,,,23.51,-3.142644187,-2.730074283,-2.330558712,0.406042737
,,,,,,23.52,-3.140786298,-2.727653622,-2.323044326,0.408870986
,,,,,,23.53,-3.137922174,-2.725278653,-2.317569414,0.41017638
,,,,,,23.54,-3.136185079,-2.722951117,-2.310975441,0.412604819
,,,,,,23.55,-3.13215943,-2.720672761,-2.304018046,0.414070692
,,,,,,23.56,-3.128960969,-2.718445325,-2.302466176,0.413247397
,,,,,,23.57,-3.128804115,-2.716270556,-2.300967545,0.413918285
,,,,,,23.58,-3.125727829,-2.714150195,-2.296575111,0.414576359
,,,,,,23.59,-3.123364827,-2.712085987,-2.294999897,0.414182465
,,,,,,23.6,-3.125380956,-2.710079676,-2.29342885,0.415976053
,,,,,,23.61,-3.121626197,-2.708133004,-2.293018579,0.414303809
,,,,,,23.62,-3.121454999,-2.706247715,-2.290466337,0.415494331
,,,,,,23.63,-3.117511926,-2.704425554,-2.289774481,0.413868723
,,,,,,23.64,-3.115304083,-2.702668264,-2.289416814,0.412943634
,,,,,,23.65,-3.114883332,-2.700977588,-2.287187658,0.413847837
,,,,,,23.66,-3.114791618,-2.69935527,-2.286437518,0.41417705
,,,,,,23.67,-3.112123515,-2.697803053,-2.280716308,0.415703604
,,,,,,23.68,-3.110502826,-2.696322682,-2.281400531,0.414551147
,,,,,,23.69,-3.109570497,-2.694915899,-2.278022109,0.415774194
,,,,,,23.7,-3.108442608,-2.693584449,-2.275170498,0.416636055
,,,,,,23.71,-3.108439891,-2.692330074,-2.271379026,0.418530433
,,,,,,23.72,-3.106221976,-2.69115452,-2.270734278,0.417743849
,,,,,,23.73,-3.104703656,-2.690059528,-2.268197087,0.418253285
,,,,,,23.74,-3.103288888,-2.689046844,-2.26701027,0.418139309
,,,,,,23.75,-3.104470871,-2.688118209,-2.268583648,0.417943611
,,,,,,23.76,-3.105346934,-2.687274608,-2.26961525,0.417865842
,,,,,,23.77,-3.101768307,-2.686513977,-2.272413575,0.414677366
,,,,,,23.78,-3.09874802,-2.685833491,-2.271445763,0.413651129
,,,,,,23.79,-3.097008142,-2.685230328,-2.270530881,0.413238631
,,,,,,23.8,-3.091755951,-2.684701663,-2.269470684,0.411142633
,,,,,,23.81,-3.092722337,-2.684244672,-2.268714579,0.412003879
,,,,,,23.82,-3.094350288,-2.68385653,-2.267951399,0.413199444
,,,,,,23.83,-3.094939894,-2.683534415,-2.265752625,0.414593634
,,,,,,23.84,-3.093814124,-2.683275502,-2.26356025,0.415126937
,,,,,,23.85,-3.095318259,-2.683076967,-2.264266328,0.415525965
,,,,,,23.86,-3.097933524,-2.682935986,-2.264070246,0.416931639
,,,,,,23.87,-3.095977943,-2.682849735,-2.263841863,0.41606804
,,,,,,23.88,-3.095787035,-2.68281539,-2.263923722,0.415931657
,,,,,,23.89,-3.093963409,-2.682830127,-2.266676452,0.413643478
,,,,,,23.9,-3.093722818,-2.682891122,-2.269088972,0.412316923
,,,,,,23.91,-3.093214593,-2.682995551,-2.267376203,0.412919195
,,,,,,23.92,-3.090997866,-2.68314059,-2.266574053,0.412211907
,,,,,,23.93,-3.089044163,-2.683323424,-2.266523833,0.411260165
,,,,,,23.94,-3.087812871,-2.68354201,-2.266528098,0.410642386
,,,,,,23.95,-3.085400327,-2.683795604,-2.270177762,0.407611283
,,,,,,23.96,-3.084326764,-2.68408359,-2.270610227,0.406858269
,,,,,,23.97,-3.086270225,-2.684405354,-2.27113388,0.407568173
,,,,,,23.98,-3.08545714,-2.684760278,-2.278402956,0.403527092
,,,,,,23.99,-3.085872559,-2.685147746,-2.282301324,0.401785618
,,,,,,24,-3.085695991,-2.685567144,-2.282992498,0.401351746
,,,,,,24.01,-3.084795888,-2.686017855,-2.284561953,0.400116968
,,,,,,24.02,-3.08621017,-2.686499263,-2.288511835,0.398849168
,,,,,,24.03,-3.084265912,-2.687010752,-2.291277667,0.396494122
,,,,,,24.04,-3.085481634,-2.687551707,-2.292785479,0.396348077
,,,,,,24.05,-3.085394002,-2.688121511,-2.293576877,0.395908562
,,,,,,24.06,-3.084826558,-2.688719548,-2.295789421,0.394518569
,,,,,,24.07,-3.082430095,-2.689345203,-2.297999614,0.392215241
,,,,,,24.08,-3.081994804,-2.689997859,-2.299769465,0.391112669
,,,,,,24.09,-3.082068413,-2.690676902,-2.304234069,0.388917172
,,,,,,24.1,-3.082152756,-2.691381714,-2.308196162,0.386978297
,,,,,,24.11,-3.081948703,-2.69211168,-2.313507081,0.384220811
,,,,,,24.12,-3.082006878,-2.692866184,-2.319852918,0.38107698
,,,,,,24.13,-3.081267404,-2.69364461,-2.322845574,0.379210915
,,,,,,24.14,-3.081451012,-2.694446343,-2.323880065,0.378785473
,,,,,,24.15,-3.080090059,-2.695270765,-2.327384449,0.376352805
,,,,,,24.16,-3.07817905,-2.696117262,-2.327343037,0.375418007
,,,,,,24.17,-3.078197311,-2.696985218,-2.330897735,0.373649788
,,,,,,24.18,-3.078650687,-2.697874016,-2.334400317,0.372125185
,,,,,,24.19,-3.076833996,-2.698783041,-2.336911912,0.369961042
,,,,,,24.2,-3.076850541,-2.699711676,-2.339317389,0.368766576
,,,,,,24.21,-3.075289334,-2.700659306,-2.343486881,0.365901226
,,,,,,24.22,-3.075238783,-2.701625315,-2.345198636,0.365020074
,,,,,,24.23,-3.074854029,-2.702609087,-2.346183811,0.364335109
,,,,,,24.24,-3.073385428,-2.703610007,-2.346043695,0.363670867
,,,,,,24.25,-3.072327287,-2.704627457,-2.34588843,0.363219428
,,,,,,24.26,-3.072759284,-2.705660823,-2.347872457,0.362443414
,,,,,,24.27,-3.074677315,-2.706709488,-2.350232539,0.362222388
,,,,,,24.28,-3.074217624,-2.707772836,-2.352459625,0.360878999
,,,,,,24.29,-3.075326537,-2.708850252,-2.357118336,0.3591041
,,,,,,24.3,-3.074320695,-2.709941119,-2.359430704,0.357444996
,,,,,,24.31,-3.074265294,-2.711044823,-2.360216356,0.357024469
,,,,,,24.32,-3.074985709,-2.712160746,-2.359852495,0.357566607
,,,,,,24.33,-3.076956673,-2.713288273,-2.360900565,0.358028054
,,,,,,24.34,-3.077226673,-2.714426788,-2.359096014,0.359065329
,,,,,,24.35,-3.080025573,-2.715575675,-2.35705607,0.361484751
,,,,,,24.36,-3.080390858,-2.716734318,-2.358515062,0.360937898
,,,,,,24.37,-3.083155763,-2.717902101,-2.357768913,0.362693425
,,,,,,24.38,-3.083066876,-2.719078409,-2.35880728,0.362129798
,,,,,,24.39,-3.083214173,-2.720262625,-2.359735929,0.361739122
,,,,,,24.4,-3.084304263,-2.721454133,-2.360650943,0.36182666
,,,,,,24.41,-3.083060447,-2.722652318,-2.362117198,0.360471624
,,,,,,24.42,-3.082842941,-2.723856564,-2.364658702,0.35909212
,,,,,,24.43,-3.084139618,-2.725066255,-2.366826469,0.358656575
,,,,,,24.44,-3.084570252,-2.726280774,-2.366496204,0.359037024
,,,,,,24.45,-3.084268,-2.727499507,-2.365690452,0.359288774
,,,,,,24.46,-3.084582417,-2.728721836,-2.367852074,0.358365172
,,,,,,24.47,-3.085493274,-2.729947147,-2.369359148,0.358067063
,,,,,,24.48,-3.086685315,-2.731174823,-2.373887663,0.356398826
,,,,,,24.49,-3.089037195,-2.732404248,-2.37800328,0.355516958
,,,,,,24.5,-3.088408135,-2.733634806,-2.381264233,0.353571951
,,,,,,24.51,-3.089899107,-2.734865882,-2.386308026,0.351795541
,,,,,,24.52,-3.091635595,-2.73609686,-2.386965491,0.352335052
,,,,,,24.53,-3.092251778,-2.737327123,-2.38912178,0.351564999
,,,,,,24.54,-3.093974688,-2.738556056,-2.392994867,0.350489911
,,,,,,24.55,-3.097870771,-2.739783043,-2.39543227,0.351219251
,,,,,,24.56,-3.098142511,-2.741007468,-2.395370231,0.35138614
,,,,,,24.57,-3.099231791,-2.742228715,-2.400003629,0.349614081
,,,,,,24.58,-3.100226296,-2.743446167,-2.401974019,0.349126139
,,,,,,24.59,-3.102324146,-2.744659211,-2.401804818,0.350259664
,,,,,,24.6,-3.102389038,-2.745867228,-2.402689379,0.34984983
,,,,,,24.61,-3.104511166,-2.747069604,-2.402305288,0.351102939
,,,,,,24.62,-3.103397678,-2.748265722,-2.400606044,0.351395817
,,,,,,24.63,-3.108608035,-2.749454967,-2.399782714,0.354412661
,,,,,,24.64,-3.112699203,-2.750636722,-2.400827679,0.355935762
,,,,,,24.65,-3.114221755,-2.751810372,-2.405486201,0.354367777
,,,,,,24.66,-3.117938428,-2.752975301,-2.406674235,0.355632096
,,,,,,24.67,-3.119066795,-2.754130893,-2.406149828,0.356458483
,,,,,,24.68,-3.120642529,-2.755276532,-2.405309755,0.357666387
,,,,,,24.69,-3.119587821,-2.756411602,-2.402396285,0.358595768
,,,,,,24.7,-3.119523354,-2.757535487,-2.400890271,0.359316541
,,,,,,24.71,-3.121951537,-2.758647571,-2.40380195,0.359074794
,,,,,,24.72,-3.126499723,-2.759747242,-2.406684945,0.359907389
,,,,,,24.73,-3.126817665,-2.760834147,-2.408752282,0.359032691
,,,,,,24.74,-3.128612994,-2.761908373,-2.408343894,0.36013455
,,,,,,24.75,-3.128180658,-2.762970049,-2.40795569,0.360112484
,,,,,,24.76,-3.131266853,-2.764019306,-2.409825637,0.360720608
,,,,,,24.77,-3.133369346,-2.765056272,-2.41120661,0.361081368
,,,,,,24.78,-3.132925118,-2.766081079,-2.410952096,0.360986511
,,,,,,24.79,-3.135757548,-2.767093855,-2.409428003,0.363164773
,,,,,,24.8,-3.143426162,-2.76809473,-2.41111705,0.366154556
,,,,,,24.81,-3.14368844,-2.769083834,-2.414524177,0.364582131
,,,,,,24.82,-3.147074825,-2.770061297,-2.417737846,0.364668489
