ID,Latitude,Longitude,Year (CE),RSL (mm),RSL std (mm)
180.0,39.355,-74.418333,1915.0,-345.93148726858635,4.3122420041993665
180.0,39.355,-74.418333,1925.0,-331.8473657679242,4.1081302748754105
180.0,39.355,-74.418333,1935.0,-260.99989725985506,2.7010573300041365
180.0,39.355,-74.418333,1945.0,-214.69241280962433,2.701057324686087
180.0,39.355,-74.418333,1955.0,-200.63962892351992,2.701057330585985
180.0,39.355,-74.418333,1965.0,-157.23486990827587,2.7239905930088253
180.0,39.355,-74.418333,1975.0,-105.65067401878787,3.8397277320539436
180.0,39.355,-74.418333,1985.0,-68.03290532473784,4.132261009977004
180.0,39.355,-74.418333,1995.0,-6.660377195790716,3.9676959711545234
180.0,39.355,-74.418333,2005.0,10.607920718257446,4.180600704329336
180.0,39.355,-74.418333,2015.0,70.47647447178588,2.7181196703344526
183.0,43.656667,-70.246667,1915.0,-144.0031805464787,4.824870372061649
183.0,43.656667,-70.246667,1925.0,-167.97620867434307,2.791601739756869
183.0,43.656667,-70.246667,1935.0,-142.01978750946728,2.7916017430119404
183.0,43.656667,-70.246667,1945.0,-98.65928831427755,2.7916017409986615
183.0,43.656667,-70.246667,1955.0,-65.42281585354704,2.7916017396039625
183.0,43.656667,-70.246667,1965.0,-73.97707587840159,2.791601740500555
183.0,43.656667,-70.246667,1975.0,-23.792542578658868,2.7916017423956783
183.0,43.656667,-70.246667,1985.0,-39.74785817089651,2.8044667031398536
183.0,43.656667,-70.246667,1995.0,-19.155630522845968,3.3541574963045115
183.0,43.656667,-70.246667,2005.0,-12.124627349494403,2.7928237470730304
183.0,43.656667,-70.246667,2015.0,34.40661824815561,2.7916017880547113
202.0,50.103,-5.542833,1915.0,-129.60428772784235,47.65215470488461
202.0,50.103,-5.542833,1925.0,-138.07355961844223,2.798255268245517
202.0,50.103,-5.542833,1935.0,-113.87490904959031,2.7982552695305816
202.0,50.103,-5.542833,1945.0,-106.35891559509673,2.7982552715991664
202.0,50.103,-5.542833,1955.0,-81.94402868568977,2.798255267441195
202.0,50.103,-5.542833,1965.0,-55.15586488807912,2.798255269854159
202.0,50.103,-5.542833,1975.0,-69.0876262004931,2.7982552664958864
202.0,50.103,-5.542833,1985.0,-21.28697552329504,3.374802616910509
202.0,50.103,-5.542833,1995.0,-31.053542737641692,2.7982681014053434
202.0,50.103,-5.542833,2005.0,20.199575812333933,3.9665816357572137
234.0,32.781667,-79.925,1925.0,-262.15984461362314,4.8114506313053
234.0,32.781667,-79.925,1935.0,-234.66226129907045,2.789732835405538
234.0,32.781667,-79.925,1945.0,-152.0843582777661,2.789732834733223
234.0,32.781667,-79.925,1955.0,-146.11740044194357,2.789732835764879
234.0,32.781667,-79.925,1965.0,-140.66189481261335,2.789732835419448
234.0,32.781667,-79.925,1975.0,-83.11852578511116,2.7897328340029492
234.0,32.781667,-79.925,1985.0,-71.70014018472102,2.7897328366110687
234.0,32.781667,-79.925,1995.0,-15.728754306898736,2.7897328398915047
234.0,32.781667,-79.925,2005.0,-17.20030747445253,2.7897328345361645
